No.,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd,"Avg. Epit, mV (SCE) ","Max Epit, mV (SCE)","Min Epit, mV (SCE)",Test Temp. C,Test Solution,[Cl-] M,pH,Test Method,Scan Rate mV/s,Heat treatment,Microstructures,Comments,Reference,Material class
404.0,73.63,22.53,1.45,1.02,0.0,,,,1.37,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.00,,,90.0,deaerated synthetic sea water,0.546,7.2,Potentiodynamic Polarization,0.17,"All surfaces of the cast slabs were ground to remove imperfections and provide good rolling surfaces before annealing 16 hours at 1200C in argon atmosphere. The slabs were hot rolled at 1090C to 1/16 inch thickness. Oxide scale was subsequently removed by sand blasting before a final annealing treatment. Following preparation, each alloy was hot rolled to 0.1 inch sheet and water quenched. Hot rolling temperatures were restricted to a maximum of 982C and a minimum of 816C. The hot rolled sheet was electropolished in an aqueous 15wt% NaCl/ 30wt%H2SO4 electrolyte to remove surface scale and sheared into 1 inch wide strips running parallel to the hot rolling direction. The 1 inch wide hot rolled strips were subsequently cold rolled from 0.1 inch to a final thickness of 0.0625inch. ",,,3,Fe Alloy
405.0,74.0,20.73,2.17,1.03,0.0,,,,2.07,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.00,,,90.0,deaerated synthetic sea water,0.546,7.2,Potentiodynamic Polarization,0.17,"All surfaces of the cast slabs were ground to remove imperfections and provide good rolling surfaces before annealing 16 hours at 1200C in argon atmosphere. The slabs were hot rolled at 1090C to 1/16 inch thickness. Oxide scale was subsequently removed by sand blasting before a final annealing treatment. Following preparation, each alloy was hot rolled to 0.1 inch sheet and water quenched. Hot rolling temperatures were restricted to a maximum of 982C and a minimum of 816C. The hot rolled sheet was electropolished in an aqueous 15wt% NaCl/ 30wt%H2SO4 electrolyte to remove surface scale and sheared into 1 inch wide strips running parallel to the hot rolling direction. The 1 inch wide hot rolled strips were subsequently cold rolled from 0.1 inch to a final thickness of 0.0625inch. ",,,3,Fe Alloy
406.0,73.49,22.56,1.44,0.71,0.0,,0.34,,1.37,0.09,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.00,,,90.0,deaerated synthetic sea water,0.546,7.2,Potentiodynamic Polarization,0.17,"All surfaces of the cast slabs were ground to remove imperfections and provide good rolling surfaces before annealing 16 hours at 1200C in argon atmosphere. The slabs were hot rolled at 1090C to 1/16 inch thickness. Oxide scale was subsequently removed by sand blasting before a final annealing treatment. Following preparation, each alloy was hot rolled to 0.1 inch sheet and water quenched. Hot rolling temperatures were restricted to a maximum of 982C and a minimum of 816C. The hot rolled sheet was electropolished in an aqueous 15wt% NaCl/ 30wt%H2SO4 electrolyte to remove surface scale and sheared into 1 inch wide strips running parallel to the hot rolling direction. The 1 inch wide hot rolled strips were subsequently cold rolled from 0.1 inch to a final thickness of 0.0625inch. ",,,3,Fe Alloy
407.0,73.38,22.52,1.85,0.7,0.0,,0.34,,,0.08,,,,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.00,,,90.0,deaerated synthetic sea water,0.546,7.2,Potentiodynamic Polarization,0.17,"All surfaces of the cast slabs were ground to remove imperfections and provide good rolling surfaces before annealing 16 hours at 1200C in argon atmosphere. The slabs were hot rolled at 1090C to 1/16 inch thickness. Oxide scale was subsequently removed by sand blasting before a final annealing treatment. Following preparation, each alloy was hot rolled to 0.1 inch sheet and water quenched. Hot rolling temperatures were restricted to a maximum of 982C and a minimum of 816C. The hot rolled sheet was electropolished in an aqueous 15wt% NaCl/ 30wt%H2SO4 electrolyte to remove surface scale and sheared into 1 inch wide strips running parallel to the hot rolling direction. The 1 inch wide hot rolled strips were subsequently cold rolled from 0.1 inch to a final thickness of 0.0625inch. ",,,3,Fe Alloy
408.0,73.66,21.51,1.44,2.03,0.0,,,,1.36,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.00,,,90.0,deaerated synthetic sea water,0.546,7.2,Potentiodynamic Polarization,0.17,"All surfaces of the cast slabs were ground to remove imperfections and provide good rolling surfaces before annealing 16 hours at 1200C in argon atmosphere. The slabs were hot rolled at 1090C to 1/16 inch thickness. Oxide scale was subsequently removed by sand blasting before a final annealing treatment. Following preparation, each alloy was hot rolled to 0.1 inch sheet and water quenched. Hot rolling temperatures were restricted to a maximum of 982C and a minimum of 816C. The hot rolled sheet was electropolished in an aqueous 15wt% NaCl/ 30wt%H2SO4 electrolyte to remove surface scale and sheared into 1 inch wide strips running parallel to the hot rolling direction. The 1 inch wide hot rolled strips were subsequently cold rolled from 0.1 inch to a final thickness of 0.0625inch. ",,,3,Fe Alloy
409.0,74.03,19.71,2.16,2.04,0.0,,,,2.06,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.00,,,90.0,deaerated synthetic sea water,0.546,7.2,Potentiodynamic Polarization,0.17,"All surfaces of the cast slabs were ground to remove imperfections and provide good rolling surfaces before annealing 16 hours at 1200C in argon atmosphere. The slabs were hot rolled at 1090C to 1/16 inch thickness. Oxide scale was subsequently removed by sand blasting before a final annealing treatment. Following preparation, each alloy was hot rolled to 0.1 inch sheet and water quenched. Hot rolling temperatures were restricted to a maximum of 982C and a minimum of 816C. The hot rolled sheet was electropolished in an aqueous 15wt% NaCl/ 30wt%H2SO4 electrolyte to remove surface scale and sheared into 1 inch wide strips running parallel to the hot rolling direction. The 1 inch wide hot rolled strips were subsequently cold rolled from 0.1 inch to a final thickness of 0.0625inch. ",,,3,Fe Alloy
410.0,73.37,21.49,1.84,1.75,0.0,,0.34,,,0.09,,,,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.00,,,90.0,deaerated synthetic sea water,0.546,7.2,Potentiodynamic Polarization,0.17,"All surfaces of the cast slabs were ground to remove imperfections and provide good rolling surfaces before annealing 16 hours at 1200C in argon atmosphere. The slabs were hot rolled at 1090C to 1/16 inch thickness. Oxide scale was subsequently removed by sand blasting before a final annealing treatment. Following preparation, each alloy was hot rolled to 0.1 inch sheet and water quenched. Hot rolling temperatures were restricted to a maximum of 982C and a minimum of 816C. The hot rolled sheet was electropolished in an aqueous 15wt% NaCl/ 30wt%H2SO4 electrolyte to remove surface scale and sheared into 1 inch wide strips running parallel to the hot rolling direction. The 1 inch wide hot rolled strips were subsequently cold rolled from 0.1 inch to a final thickness of 0.0625inch. ",,,3,Fe Alloy
411.0,72.73,21.48,1.43,3.0,0.0,,,,1.36,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00,,,90.0,deaerated synthetic sea water,0.546,7.2,Potentiodynamic Polarization,0.17,"All surfaces of the cast slabs were ground to remove imperfections and provide good rolling surfaces before annealing 16 hours at 1200C in argon atmosphere. The slabs were hot rolled at 1090C to 1/16 inch thickness. Oxide scale was subsequently removed by sand blasting before a final annealing treatment. Following preparation, each alloy was hot rolled to 0.1 inch sheet and water quenched. Hot rolling temperatures were restricted to a maximum of 982C and a minimum of 816C. The hot rolled sheet was electropolished in an aqueous 15wt% NaCl/ 30wt%H2SO4 electrolyte to remove surface scale and sheared into 1 inch wide strips running parallel to the hot rolling direction. The 1 inch wide hot rolled strips were subsequently cold rolled from 0.1 inch to a final thickness of 0.0625inch. ",,,3,Fe Alloy
412.0,73.02,19.7,2.15,2.64,0.0,,0.34,,2.06,0.09,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.00,,,90.0,deaerated synthetic sea water,0.546,7.2,Potentiodynamic Polarization,0.17,"All surfaces of the cast slabs were ground to remove imperfections and provide good rolling surfaces before annealing 16 hours at 1200C in argon atmosphere. The slabs were hot rolled at 1090C to 1/16 inch thickness. Oxide scale was subsequently removed by sand blasting before a final annealing treatment. Following preparation, each alloy was hot rolled to 0.1 inch sheet and water quenched. Hot rolling temperatures were restricted to a maximum of 982C and a minimum of 816C. The hot rolled sheet was electropolished in an aqueous 15wt% NaCl/ 30wt%H2SO4 electrolyte to remove surface scale and sheared into 1 inch wide strips running parallel to the hot rolling direction. The 1 inch wide hot rolled strips were subsequently cold rolled from 0.1 inch to a final thickness of 0.0625inch. ",,,3,Fe Alloy
413.0,71.93,19.74,2.14,3.5,0.0,,0.51,,2.05,0.13,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.00,,,90.0,deaerated synthetic sea water,0.546,7.2,Potentiodynamic Polarization,0.17,"All surfaces of the cast slabs were ground to remove imperfections and provide good rolling surfaces before annealing 16 hours at 1200C in argon atmosphere. The slabs were hot rolled at 1090C to 1/16 inch thickness. Oxide scale was subsequently removed by sand blasting before a final annealing treatment. Following preparation, each alloy was hot rolled to 0.1 inch sheet and water quenched. Hot rolling temperatures were restricted to a maximum of 982C and a minimum of 816C. The hot rolled sheet was electropolished in an aqueous 15wt% NaCl/ 30wt%H2SO4 electrolyte to remove surface scale and sheared into 1 inch wide strips running parallel to the hot rolling direction. The 1 inch wide hot rolled strips were subsequently cold rolled from 0.1 inch to a final thickness of 0.0625inch. ",,,3,Fe Alloy
414.0,70.97,19.73,2.13,4.7,0.0,,0.34,,2.04,0.09,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.00,,,90.0,deaerated synthetic sea water,0.546,7.2,Potentiodynamic Polarization,0.17,"All surfaces of the cast slabs were ground to remove imperfections and provide good rolling surfaces before annealing 16 hours at 1200C in argon atmosphere. The slabs were hot rolled at 1090C to 1/16 inch thickness. Oxide scale was subsequently removed by sand blasting before a final annealing treatment. Following preparation, each alloy was hot rolled to 0.1 inch sheet and water quenched. Hot rolling temperatures were restricted to a maximum of 982C and a minimum of 816C. The hot rolled sheet was electropolished in an aqueous 15wt% NaCl/ 30wt%H2SO4 electrolyte to remove surface scale and sheared into 1 inch wide strips running parallel to the hot rolling direction. The 1 inch wide hot rolled strips were subsequently cold rolled from 0.1 inch to a final thickness of 0.0625inch. ",,,3,Fe Alloy
