No.,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd,"Avg. Epit, mV (SCE) ","Max Epit, mV (SCE)","Min Epit, mV (SCE)",Test Temp. C,Test Solution,[Cl-] M,pH,Test Method,Scan Rate mV/s,Heat treatment,Microstructures,Comments,Reference,Material class
1.0,69.71,18.0,10.0,,0.0,0.0,0.0,0.03,1.0,1.0,0.2,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.00,,,50.0,"300 ppm NaCl, pH 7.8",0.0051,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,,,S30403 (304L),49,Fe Alloy
2.0,69.71,18.0,10.0,,0.0,0.0,0.0,0.03,1.0,1.0,0.2,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.00,,,50.0,"500 ppm NaCl, pH 7.8",0.0086,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,,,S30403 (304L),49,Fe Alloy
3.0,69.71,18.0,10.0,,0.0,0.0,0.0,0.03,1.0,1.0,0.2,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.00,,,50.0,"1000 ppm NaCl, pH 7.8",0.0171,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,,,S30403 (304L),49,Fe Alloy
4.0,69.71,18.0,10.0,,0.0,0.0,0.0,0.03,1.0,1.0,0.2,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.00,,,50.0,"5000 ppm NaCl, pH 7.8",0.0856,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,,,S30403 (304L),49,Fe Alloy
5.0,69.71,18.0,10.0,,0.0,,0.0,0.03,1.0,1.0,0.2,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.00,,,50.0,Seawater Natural,0.546,8.2,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,,,S30403 (304L),49,Fe Alloy
6.0,67.54,16.0,11.0,3.0,0.0,,0.0,0.02,1.0,1.0,0.2,0.05,0.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.00,,,50.0,"300 ppm NaCl, pH 7.8",0.0051,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,,,S31603 (316L),49,Fe Alloy
7.0,67.54,16.0,11.0,3.0,0.0,,0.0,0.02,1.0,1.0,0.2,0.05,0.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.00,,,50.0,"500 ppm NaCl, pH 7.8",0.0086,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,,,S31603 (316L),49,Fe Alloy
8.0,67.54,16.0,11.0,3.0,0.0,,0.0,0.02,1.0,1.0,0.2,0.05,0.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.00,,,50.0,"1000 ppm NaCl, pH 7.8",0.0171,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,,,S31603 (316L),49,Fe Alloy
9.0,67.54,16.0,11.0,3.0,0.0,,0.0,0.02,1.0,1.0,0.2,0.05,0.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.00,,,50.0,"5000 ppm NaCl, pH 7.8",0.0856,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,,,S31603 (316L),49,Fe Alloy
10.0,67.54,16.0,11.0,3.0,0.0,,0.0,0.02,1.0,1.0,0.2,0.05,0.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.00,,,50.0,Seawater Natural,0.546,8.2,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,,,S31603 (316L),49,Fe Alloy
