No.,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd,"Avg. Epit, mV (SCE) ","Max Epit, mV (SCE)","Min Epit, mV (SCE)",Test Temp. C,Test Solution,[Cl-] M,pH,Test Method,Scan Rate mV/s,Heat treatment,Microstructures,Comments,Reference,Material class
741.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.00,,,25.0,0.1M NaCl pH 10,0.1,10.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
742.0,0.0,0.0,0.0,0.0,0.0,,15.34,,,,,,,84.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-125.00,,,25.0,0.1M NaCl pH 10,0.1,10.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
743.0,0.0,0.0,0.0,0.0,0.0,,37.8,,,,,,,62.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-750.00,,,25.0,0.1M NaCl pH 10,0.1,10.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
744.0,0.0,0.0,0.0,0.0,0.0,,54.75,,,,,,,45.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-875.00,,,25.0,0.1M NaCl pH 10,0.1,10.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
745.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-690.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
746.0,0.0,0.0,0.0,0.0,0.0,,15.34,,,,,,,84.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
747.0,0.0,0.0,0.0,0.0,0.0,,37.8,,,,,,,62.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
748.0,0.0,0.0,0.0,0.0,0.0,,54.75,,,,,,,45.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
749.0,0.0,0.0,0.0,0.0,0.0,,64.96,,,,,,,35.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
750.0,0.0,0.0,0.0,15.77,0.0,,0.0,,,,,,,84.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,,,25.0,0.1M NaCl pH 10,0.1,10.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
751.0,0.0,0.0,0.0,28.32,0.0,,0.0,,,,,,,71.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00,,,25.0,0.1M NaCl pH 10,0.1,10.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
752.0,0.0,0.0,0.0,38.56,0.0,,0.0,,,,,,,61.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.00,,,25.0,0.1M NaCl pH 10,0.1,10.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
753.0,0.0,0.0,0.0,44.67,0.0,,0.0,,,,,,,55.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.00,,,25.0,0.1M NaCl pH 10,0.1,10.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
754.0,0.0,0.0,0.0,55.55,0.0,,0.0,,,,,,,44.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775.00,,,25.0,0.1M NaCl pH 10,0.1,10.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
755.0,0.0,0.0,0.0,59.23,0.0,,0.0,,,,,,,40.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.00,,,25.0,0.1M NaCl pH 10,0.1,10.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
756.0,0.0,0.0,0.0,62.06,0.0,,0.0,,,,,,,37.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.00,,,25.0,0.1M NaCl pH 10,0.1,10.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Other
757.0,0.0,0.0,0.0,15.77,0.0,,0.0,,,,,,,84.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
758.0,0.0,0.0,0.0,28.32,0.0,,0.0,,,,,,,71.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
759.0,0.0,0.0,0.0,41.27,0.0,,0.0,,,,,,,58.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
760.0,0.0,0.0,0.0,57.43,0.0,,0.0,,,,,,,42.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
761.0,0.0,0.0,0.0,59.23,0.0,,0.0,,,,,,,40.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
762.0,0.0,0.0,0.0,72.03,0.0,,0.0,,,,,,,27.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Other
763.0,0.0,4.71,0.0,0.0,0.0,,0.0,,,,,,,95.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,,,25.0,0.1M NaCl pH 10,0.1,10.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
764.0,0.0,20.03,0.0,0.0,0.0,,0.0,,,,,,,79.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.00,,,25.0,0.1M NaCl pH 10,0.1,10.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
765.0,0.0,45.23,0.0,0.0,0.0,,0.0,,,,,,,54.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.00,,,25.0,0.1M NaCl pH 10,0.1,10.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
766.0,0.0,9.21,0.0,0.0,0.0,,0.0,,,,,,,90.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
767.0,0.0,26.12,0.0,0.0,0.0,,0.0,,,,,,,73.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-125.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
768.0,0.0,17.64,0.0,0.0,0.0,,0.0,,,,,,,82.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-125.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
769.0,0.0,39.74,0.0,0.0,0.0,,0.0,,,,,,,60.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
770.0,0.0,50.37,0.0,0.0,0.0,,0.0,,,,,,,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
771.0,0.0,54.15,0.0,0.0,0.0,,0.0,,,,,,,45.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
772.0,0.0,60.71,0.0,0.0,0.0,,0.0,,,,,,,39.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Other
773.0,0.0,0.0,0.0,0.0,27.21,,0.0,,,,,,,72.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.00,,,25.0,0.1M NaCl,0.1,7.0,Potentiodynamic Polarzation until a stable pit formed then Potentiostatic Polarization at pitting potential to monitior pit growth,1.00,,,Al Alloy,80,Al Alloy
